Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
0171/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi sabaude su Reglement pour les devoirs de l’infanterie,marocchino,http://93.62.170.226/foto/LE171.jpg
0012/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi su Il corso delle stelle osservato dal pronostico moderno. Palmaverde. Almanacco piemontese,pelle,http://93.62.170.226/foto/12LE.jpg
0054/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi di recupero su La Sibilla Celeste Effemeride,marocchino,http://93.62.170.226/foto/54LE.jpg
0156/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su [Vassalli Eandi],pelle verde,http://93.62.170.226/foto/LE156.jpg
0165/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Benvenuto di S. Raffaele,vitello,http://93.62.170.226/foto/LE165.jpg
0166/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Benvenuto di S. Raffaele,vitello,http://93.62.170.226/foto/LE166.jpg
0137/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Calendario per la Real Corte,marocchino,http://93.62.170.226/foto/137LE.jpg
0134/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Calendario per la Real Corte,marocchino,http://93.62.170.226/foto/LE 134.jpg
0130/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Calendario per la Real Corte,bazzana,http://93.62.170.226/foto/LE 130.jpg
0145/LE,,,XVIII secolo,Legatura della Bottega dei Regi Archivi su Calendario per la Real Corte - con astuccio,vitellino - marocchino - mica,http://93.62.170.226/foto/145LE (44LE).jpg
0144/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Esercizi di cristiana pietà - con astuccio,pelle - marocchino - mica - argento fuso e cesellato,http://93.62.170.226/foto/144LE (57LE).jpg
0152/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Giambernardo Vigo - Per le auguste nozze,pelle,http://93.62.170.226/foto/LE152.jpg
0033/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Giuseppe Antonio Scanzio,marocchino,http://93.62.170.226/foto/33LE.jpg
0267/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Jean Croiset,marocchino,http://93.62.170.226/foto/LE267.jpg
0126/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su La journée du chretien,marocchino,http://93.62.170.226/foto/LE126.jpg
0028/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su La journée du chretien sanctifiée par la priere et la meditation,marocchino,http://93.62.170.226/foto/28LE.jpg
0124/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su La journée du chretien sanctifiée par la priere et la méditation,marocchino,http://93.62.170.226/foto/LE 124.jpg
0150/LE,,,XVIII secolo,Legatura della Bottega dei Regi Archivi su Libro di preghiere,pelle - mica,http://93.62.170.226/foto/150LE.jpg
0017/LE,,arte veneziana,XVIII secolo,Legatura della Bottega dei Regi Archivi su Officium Beatae Mariae Virginis,marocchino rosso,http://93.62.170.226/foto/17LE.jpg
0177/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Saggio di poesie degli Uniti,pelle verde,http://93.62.170.226/foto/LE177.jpg
0147/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Ufficio della Settimana Santa,pelle - marocchino - mica,http://93.62.170.226/foto/147LE.jpg
0268/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Uffizio della B.V. Maria,marocchino,http://93.62.170.226/foto/LE268.jpg
0111/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi su Uffizio di Maria Vergine,marocchino,http://93.62.170.226/foto/LE111.jpg
0036/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Uffizio di Maria Vergine,Marocchino - argento fuso e cesellato,http://93.62.170.226/foto/36LE.jpg
0168/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Vittorio Amedeo Gioanetti,marocchino,http://93.62.170.226/foto/LE168.jpg
0115/LE,,arte piemontese,XVIII secolo,Legatura della Bottega dei Regi Archivi su Vittorio Ludovico Cantone - Tesi di laurea in medicina,marocchino,http://93.62.170.226/foto/LE115.jpg
3289/DS,,,XVIII secolo,Legatura della seconda metà del Settecento su manoscritto con Cronologia de cavalieri dell’Ordine dell’Annunziata,pergamena - inchiostro su carta,http://93.62.170.226/foto/DS3289.jpg
0184/LE,,,XVIII secolo,Legatura di dono alle armi di Carlo VI su Relation,velluto di seta tagliato unito - filati serici - filati dorati su imbottitura in carta,http://93.62.170.226/foto/LE184Bter.jpg
0172/LE,,,XVIII secolo,Legatura di dono su Gianantonio Pedrini - Giunon pronuba. Poemetto,marocchino,http://93.62.170.226/foto/LE172.jpg
0064/LE,,arte fiorentina,XIX secolo,Legatura di dono su Imitazione di Gesù Cristo,vitello,http://93.62.170.226/foto/LE64.jpg
0257/LE,,,XVII secolo (?),Legatura dogale su manoscritto membranaceo,pelle - legno,http://93.62.170.226/foto/LE257.jpg
0007/LE,,Parigi,post 1514,Legatura d'uso su Josephus Judeus - Opera,pergamena - cartone,http://93.62.170.226/foto/LE7.jpg
867,,,XIX secolo,Legatura editoriale di dono con monogramma coronato,pelle,http://93.62.170.226/foto/867.jpg
0030/LE,,arte fiamminga,XVI secolo,Legatura fiamminga su Psalmorum liber - Proverbia Ecclesiastes et cantica canticorum Salomonis.,Marocchino,http://93.62.170.226/foto/LE30bis.jpg
0255/LE,,arte francese,XVI secolo,Legatura fiamminga su Quintus Asconius Paedianus e Antonio Luschi,vitello,http://93.62.170.226/foto/LE255.jpg
0242/LE,,Torino,XVII secolo,Legatura francese ad armi attribuite tradizionalmente ai Lorena Armagnac (?) su Emanuel Tesauro,pelle,http://93.62.170.226/foto/LE242.jpg
0211/LE,,arte francese,XVIII secolo,Legatura francese ad armi ecclesiastiche su Reflexions morales avec des notes sur le nouveau testament,vitello,http://93.62.170.226/foto/LE211.jpg
0274/LE,,L'Aia,XVIII secolo,Legatura francese alle armi Carignano su Jean Rousset de Missy,vitello,http://93.62.170.226/foto/LE276.jpg
0275/LE,,L'Aia,XVIII secolo,Legatura francese alle armi Carignano su Jean Rousset de Missy,pelle,http://93.62.170.226/foto/LE276.jpg
0276/LE,,L'Aia,XVIII secolo,Legatura francese alle armi Carignano su Jean Rousset de Missy,vitello,http://93.62.170.226/foto/LE276bis.jpg
0215/LE,,arte francese,XVIII secolo,Legatura francese alle armi di Eugenio di Savoia su Essais de morale,vitello,http://93.62.170.226/foto/215LE.jpg
0232/LE,Chappelet Sebastian,,XVII secolo,Legatura francese alle armi di Luigi XIV su Nicolas Caussin,vitello,http://93.62.170.226/foto/232LE (2).jpg
0249/LE,,,XVII secolo,Legatura francese alle armi su Ludovicus Lucius,vitello,http://93.62.170.226/foto/LE249.jpg
0048/LE,,arte piemontese,XVIII secolo,Legatura francese alle armi su M. De Sacy,pelle,http://93.62.170.226/foto/48LE.jpg
0039/LE,,Parigi,XVIII secolo,Legatura francese d’almanacco su Étrennes mignones curieuses et utiles,marocchino,http://93.62.170.226/foto/39LE.jpg
0027/LE,,arte francese,XVIII secolo,Legatura francese su Abbé Antonini,marocchino rosso,http://93.62.170.226/foto/27LE.jpg
0022/LE,,arte francese,XVII secolo,Legatura francese su Barthelemy Cocles,vitello,http://93.62.170.226/foto/22LE.jpg
0066/LE,Saconi Jacopo,arte francese,XVI secolo,Legatura francese su Biblia - Lyon,pelle,http://93.62.170.226/foto/66LEbis.jpg
0067/LE,,arte francese,XVIII secolo,Legatura francese su Essai des essais de Goldsmith,pelle,http://93.62.170.226/foto/67LE.jpg
0244/LE,,arte francese,XVI secolo,Legatura francese su Guillaume Paradin,vitello,http://93.62.170.226/foto/LE244bis.jpg
0237/LE,,arte francese,XVII secolo,Legatura francese su Jean Errard de Bar Le Duc,vitello,http://93.62.170.226/foto/237LE (2).jpg
0089/LE,,,XVIII secolo,Legatura francese su La journée du Chretien,marocchino,http://93.62.170.226/foto/89LE.jpg
863,,,XVIII secolo,Legatura francese su Le petit paroissien complet,marocchino,http://93.62.170.226/foto/863.jpg
0241/LE,,,XVII secolo,Legatura francese su Le tableau de la Croix,pelle,http://93.62.170.226/foto/241LE.jpg
0142/LE,,arte francese,XVIII secolo,Legatura francese su Ordinaire de la messe,marocchino,http://93.62.170.226/foto/LE142.jpg
0220/LE,,,post 1516,Legatura in stile monastico su Ludovico Bicchieri - Lectionum antiquarum libri sexdecim.,pelle,http://93.62.170.226/foto/le220.jpg
862,,,XVIII secolo,Legatura inglese su La Liturgie ou Formulaire,marocchino,http://93.62.170.226/foto/862.jpg
0262/LE,,arte napoletana,XVII secolo,Legatura medina alle armi di Felipe Ramirez Nuñez de Guzmán duca di Medina de Las Torres su Antonio Caracciolo,pelle,http://93.62.170.226/foto/262LE.jpg
0250/LE,,,XVII secolo,Legatura medina su Pandolfo Collenucio,pelle,http://93.62.170.226/foto/LE250.jpg
0190/LE,,,XVII secolo,Legatura nuziale ebraica (?) a busta vuota,marocchino,http://93.62.170.226/foto/LE190.jpg
0072/LE,,Amsterdam,post 1683,Legatura olandese di premio su Arriano - Ars tattica,pergamena,http://93.62.170.226/foto/72LE.jpg
0018/LIB,,,XIX secolo,Legatura ottocentesca su [Enea Silvio Piccolomini] - Pio II - Epistulae,pergamena - carta decorata,http://93.62.170.226/foto/LIB18bis.jpg
0193/LE,,arte persiana,XVIII secolo,Legatura persiana vuota,pelle - legno,http://93.62.170.226/foto/LE193bis.jpg
0210/LE,,arte francese,XVIII secolo,Legatura piemontese (?) - su Reflections morales avec des notes sur l’Epître de S. Paul aux Romains,vitellino,http://93.62.170.226/foto/LE210bis.jpg
0236/LE,,Torino,XVII secolo,Legatura piemontese alle armi a busta su manoscritto membranaceo,marocchino,http://93.62.170.226/foto/LE 236.jpg
0277/LE,,Torino,XVIII secolo,Legatura piemontese alle armi della Città di Torino su Angelo Colombo,vitello,http://93.62.170.226/foto/LE277.jpg
0164/LE,,arte piemontese,XVIII secolo,Legatura piemontese alle armi di Giovanni Bertetti di Buronzo,marocchino,http://93.62.170.226/foto/LE164.jpg
0174/LE,,Torino,XVIII secolo,Legatura piemontese alle armi di Vittorio Amedeo III su Gioanni Brugnone,pelle,http://93.62.170.226/foto/LE174.jpg
0163/LE,,arte piemontese,XVIII secolo,Legatura piemontese alle armi sabaude su Ambrogio da Lombez - Trattato,marocchino,http://93.62.170.226/foto/LE163.jpg
0180/LE,,,XVIII secolo,Legatura piemontese alle armi sabaude su Lodovico Antonio Muratori,marocchino,http://93.62.170.226/foto/LE180.jpg
0176/LE,,Torino,XVIII secolo,Legatura piemontese alle armi sabaude su Pietro Regis,marocchino,http://93.62.170.226/foto/LE176.jpg
0265/LE,,Lione,post 1687,Legatura piemontese alle armi sabaude su Vie des saints patriarches de l’ancien testament avec des reflexions,Bazzana,http://93.62.170.226/foto/LE265.jpg
0178/LE,,Torino,XVIII secolo,Legatura piemontese alle armi su Carlo Cozio,marocchino,http://93.62.170.226/foto/178LE.jpg
0141/LE,,Torino,XVIII secolo,Legatura piemontese alle armi su Il corso delle stelle osservato dal pronostico moderno Palmaverde almanacco piemontese 1747,pelle,http://93.62.170.226/foto/141LE.jpg
0099/LE,,arte piemontese,XIX secolo,Legatura piemontese con monogramma e armi sabaude su Il cuor di Gesù,pelle,http://93.62.170.226/foto/99LE.jpg
0118/LE,,,XVIII secolo,Legatura piemontese di recupero su Il Cagliostro,marocchino,http://93.62.170.226/foto/118LE.jpg
0094/LE,,Torino,XIX secolo,Legatura piemontese romantica su Caritea - dramma per musica,pelle,http://93.62.170.226/foto/94LE.jpg
0097/LE,,Torino,XIX secolo,Legatura piemontese romantica su Tesi di laurea in medicina,pelle,http://93.62.170.226/foto/97LE.jpg
0025/LE,,arte piemontese,XVIII secolo,Legatura piemontese su [Un prete dell’oratorio] - Della educazione spregiudicata,vitello,http://93.62.170.226/foto/25LE.jpg
0149/LE,,Torino,XVIII secolo,Legatura piemontese su Calendario per la Real Corte,vitellino - mica,http://93.62.170.226/foto/149LE.jpg
0128/LE,,Torino,XVIII secolo,Legatura piemontese su Calendario per la Real Corte,pelle,http://93.62.170.226/foto/128LE.jpg
0120/LE,,Torino,XVIII secolo,Legatura piemontese su Calendario per la Real Corte,vitellino,http://93.62.170.226/foto/LE 120.jpg
0023/LE,,Torino,XVIII secolo,Legatura piemontese su Carlo Giacinto Ferrero,vitello,http://93.62.170.226/foto/23LE.jpg
0112/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Conte di San Raffaele - Boezio in carcere,marocchino,http://93.62.170.226/foto/LE 112.jpg
0182/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Daniele Bartoli - Vita - e miracoli di S. Stanislao Kostka,marocchino,http://93.62.170.226/foto/LE182.jpg
0037/LE,,arte lombarda,XVIII secolo,Legatura piemontese su Esercizio cristiano di preghiere devote,marocchino,http://93.62.170.226/foto/37LE.jpg
0167/LE,,Torino,XVIII secolo,Legatura piemontese su Giuseppe Giovanni Luca Colombard,marocchino,http://93.62.170.226/foto/167LE.jpg
0264/LE,,Torino,XVIII secolo,Legatura piemontese su Giuseppe Giovanni Luca Colombard,marocchino,http://93.62.170.226/foto/LE264.jpg
0157/LE,,Torino,XVIII secolo,Legatura piemontese su Ignazio Donaudi delle Mallere,pelle granitée,http://93.62.170.226/foto/157LE.jpg
0010/LE,,Torino,XVIII secolo,Legatura piemontese su Il corso delle stelle osservato dal pronostico moderno Palmaverde almanacco piemontese,marocchino,http://93.62.170.226/foto/10LE.jpg
0269/LE,,Torino,XIX secolo,Legatura piemontese su Il Palmaverde. Almanacco Piemontese,pelle,http://93.62.170.226/foto/LE269.jpg
0114/LE,,,XVIII secolo,Legatura piemontese su Jacques Cazotte - Ollivier - Poeme,marocchino,http://93.62.170.226/foto/114LE.jpg
0113/LE,,Svizzera,XIX secolo,Legatura piemontese su Jean Picot,pelle,http://93.62.170.226/foto/113LE.jpg
0201/LE,,arte francese,XVIII secolo,Legatura piemontese su Journal des Saints avec une meditation,marocchino,http://93.62.170.226/foto/LE201bis.jpg
0117/LE,,Torino,XVIII secolo,Legatura piemontese su L’incredulo guidato alla religion rivelata e ‘l fedele corroboratovi dalla ragione,marocchino,http://93.62.170.226/foto/LE 117.jpg
0160/LE,,Torino,XVIII secolo,Legatura piemontese su Michele Casati - Raccolta di lettere pastorali,marocchino,http://93.62.170.226/foto/160LE.jpg
0070/LE,,Venezia,XVIII secolo,Legatura piemontese su Missale Romanum,pelle,http://93.62.170.226/foto/LE70.jpg
0170/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Officio della Beatissima Vergine,marocchino,http://93.62.170.226/foto/LE170.jpg
0019/LE,,Torino,XVIII secolo,Legatura piemontese su Officio della Beatissima Vergine Maria,marocchino,http://93.62.170.226/foto/19LE.jpg
0069/LE,,Venezia,XVIII secolo,Legatura piemontese su Officium Beatae Mariae Virginis,marocchino,http://93.62.170.226/foto/69LE.jpg
0125/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Officium Beatae Mariae Virginis,marocchino,http://93.62.170.226/foto/LE 125.jpg
0016/LE,,Torino,XVIII secolo,Legatura piemontese su Paolo Segneri - Esposizione del miserere,bazzana,http://93.62.170.226/foto/LE16bis.jpg
0169/LE,,,XVIII secolo,Legatura piemontese su raccolta di silhouettes,bazzana spruzzata,http://93.62.170.226/foto/169LE.jpg
0161/LE,,arte piemontese,XVIII secolo,Legatura piemontese su tesi di laurea Pietro Giovanni Regis - Orationes,marocchino,http://93.62.170.226/foto/161LE.jpg
0179/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Trattato aritmetico-pratico,marocchino,http://93.62.170.226/foto/LE179.jpg
0158/LE,,arte piemontese,XVIII secolo,Legatura piemontese su Vita del venerabile servo di Dio padre Sebastiano Valfrè,marocchino,http://93.62.170.226/foto/LE158.jpg
0209/LE,,,XVIII secolo,Legatura piemontese vuota della fine del XVIII secolo.,marocchino,http://93.62.170.226/foto/LE209.jpg
0071/LE,,Torino,XIX secolo,Legatura post romantica alle armi sabaude su Il profeta - opera ballo,pelle,http://93.62.170.226/foto/71LE.jpg
0238/LE,,Roma,XVII secolo,Legatura romana alle armi Boncompagni duchi di Sora su Alphonse Louis du Plessis de Richelieu,marocchino,http://93.62.170.226/foto/LE238.jpg
0200/LE,,Roma,XVII secolo,Legatura romana alle armi di Innocenzo XII Pignatelli,marocchino,http://93.62.170.226/foto/LE200.jpg
0173/LE,,,XVIII secolo,Legatura romana alle armi di Vittorio Amedeo III di Savoia su Filippo Damiano di Priocca,pelle,http://93.62.170.226/foto/173LE.jpg
0216/LE,,Roma,XVIII secolo,Legatura romana con astuccio su Uffizio della B.V. Maria dopo l’avvento,vitellino - pelle granitée,http://93.62.170.226/foto/216LE (280LE).jpg
860,,,XVII secolo,Legatura romana di recupero su manoscritto con Vita Petri Coelestini Confessoris Papae V,pelle,http://93.62.170.226/foto/860.jpg
0208/LE,,,XVIII secolo,Legatura romana recuperata su Album moderno con calcografie raffiguranti divinità pagane,marocchino,http://93.62.170.226/foto/LE208.jpg
0189/LE,,arte napoletana,XVIII secolo,Legatura romana su Ottavio Antonio Bayardi,marocchino,http://93.62.170.226/foto/LE189bis.jpg
0032/LE,,Roma,XVIII secolo,Legatura romana su Uffizio della Beata Vergine Maria con l’Uffizio de’ morti - della S. Croce e dello Spirito Santo,vitello,http://93.62.170.226/foto/32LE.jpg
0185/LE,,Roma,XVIII secolo,Legatura romana su Vincenzo Maria di San Paolo,marocchino,http://93.62.170.226/foto/185LE.jpg
0042/LE,,,XVIII,Legatura romana vuota della bottega degli Andreoli,pelle,http://93.62.170.226/foto/LE42bis.jpg
0059/LE,,Torino,XIX secolo,Legatura romantica su La rinegata. Dramma lirico,pelle,http://93.62.170.226/foto/59LE.jpg
0133/LE,,,XIX secolo,Legatura stemmata di recupero su Pier Giacinto Gallizia,marocchino,http://93.62.170.226/foto/LE 133.jpg
866,,,XIX secolo,Legatura stemmata di recupero su Pier Giacinto Gallizia,Gros de Tours di seta marezzato,http://93.62.170.226/foto/866.jpg
0021/LE,,arte piemontese,XVIII secolo,Legatura su [Sacerdote Veneziano] - Vita di San Godeardo detto volgarmente San Gottardo vescovo d’Ildesheim,pelle,http://93.62.170.226/foto/21LE.jpg
0271/LE,,,XIX secolo,Legatura su A.E. De Saintes,pelle,http://93.62.170.226/foto/LE271.jpg
0272/LE,,,XIX secolo,Legatura su A.E. De Saintes,pelle,http://93.62.170.226/foto/LE271.jpg
0228/LE,,,fine XVI secolo,Legatura su Agostino de Cupiti da Evoli,pergamena,http://93.62.170.226/foto/LE228bis.jpg
0102/LE,,Roma,XIX secolo,Legatura su Agostino Tofanelli,pelle rigata,http://93.62.170.226/foto/LE102.jpg
0159/LE,,,XVIII secolo,Legatura su Alberto Marchi - Orazioni panerigiriche,marocchino,http://93.62.170.226/foto/LE159bis.jpg
0050/LE,,arte lombarda,XVIII secolo,Legatura su Alessandro Borgia - Del regno di Maria omelie,bazzana,http://93.62.170.226/foto/50LE.jpg
0222/LE,,arte tedesca,1516,Legatura su Bibbia cum concordantiis veteris et novi testamenti,cuoio,http://93.62.170.226/foto/LE222bis.jpg
2652/DS-bis,,,XVII secolo,Legatura su C. Soyer,pergamena,http://93.62.170.226/foto/DS2652.jpg
0146/LE,,Torino,XIX secolo,Legatura su Calendario di Corte,vitellino - marocchino - mica,http://93.62.170.226/foto/146LE.jpg
0122/LE,,Torino,XVIII secolo,Legatura su Calendario di Corte,bazzana,http://93.62.170.226/foto/LE 122.jpg
948,,,XIX secolo,Legatura su Calendario di corte per l’anno 1842,pelle,http://93.62.170.226/foto/948.jpg
0129/LE,,,XVIII secolo,Legatura su Calendario per la Real Corte,bazzana,http://93.62.170.226/foto/129LE.jpg
0123/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte,marocchino,http://93.62.170.226/foto/LE 123.jpg
0127/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte,marocchino,http://93.62.170.226/foto/LE 127.jpg
0135/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte,bazzana,http://93.62.170.226/foto/LE 135.jpg
0132/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte di Torino per l’anno bisestile 1796,bazzana,http://93.62.170.226/foto/LE 132.jpg
0143/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte nell’anno bisestile 1788,vitellino,http://93.62.170.226/foto/LE143bis.jpg
0131/LE,,Torino,XVIII secolo,Legatura su Calendario per la Real Corte per l’anno bisestile 1780,marocchino,http://93.62.170.226/foto/LE 131.jpg
